Region,Property_Type,Average_Price,Sales_Volume,Year,Mortgage_Rate,Deposit_Percent,Energy_Rating,New_Build,Buyer_Type,Affordability_Index,Monthly_Mortgage_cost,Total Interest Paid,25-Year total cost,Loan Amount,Investment_Score,,,Investment_Score_1
North West,Terraced,270000,2300,2024,5.4,10,D,No,First Timer,117.39,"£1,477.76","£200,326.71","£443,326.71",243000,920.3025556,,1,920.3283951
North East,Terraced,235000,2000,2024,5.4,6,D,No,First Timer,117.50,"£1,343.36","£182,107.70","£403,007.70",220900,800.3025532,,1,800.3283688
North West,Terraced,300000,2550,2024,5.4,10,D,No,First Timer,117.65,"£1,641.95","£222,585.23","£492,585.23",270000,1020.30255,,1,1020.328333
East of England,Flat,300000,2550,2024,5.2,10,C,No,First Timer,117.65,"£1,610.01","£213,004.23","£483,004.23",270000,1020.60255,,2,1020.628333
North East,Terraced,230000,1950,2023,6.5,6,D,No,First Timer,117.95,"£1,459.80","£221,739.36","£437,939.36",216200,780.3025435,,1,780.3282609
North East,Terraced,230000,1950,2024,5.4,6,D,No,First Timer,117.95,"£1,314.78","£178,233.06","£394,433.06",216200,780.3025435,,1,780.3282609
North West,Terraced,275000,2330,2023,6.3,10,D,No,First Timer,118.03,"£1,640.34","£244,601.86","£492,101.86",247500,932.3025418,,1,932.3282424
North East,Terraced,208000,1760,2024,5.3,6,D,No,First Timer,118.18,"£1,177.42","£157,707.13","£353,227.13",195520,704.3025385,,1,704.3282051
North East,Terraced,235000,1980,2024,5.3,6,D,No,First Timer,118.69,"£1,330.26","£178,178.73","£399,078.73",220900,792.3025277,,1,792.3280851
North East,Terraced,220000,1850,2024,5.4,6,D,No,First Timer,118.92,"£1,257.61","£170,483.80","£377,283.80",206800,740.3025227,,1,740.3280303
North East,Terraced,250000,2100,2024,5.3,6,D,No,First Timer,119.05,"£1,415.17","£189,551.84","£424,551.84",235000,840.30252,,1,840.328
North East,Terraced,225000,1880,2024,5.3,6,D,No,First Timer,119.68,"£1,273.66","£170,596.66","£382,096.66",211500,752.3025067,,1,752.3278519
North East,Terraced,240000,2000,2023,6.6,6,D,No,First Timer,120.00,"£1,537.39","£235,618.29","£461,218.29",225600,800.3025,,1,800.3277778
South West,Flat,280000,2330,2024,5.2,12,C,No,First Timer,120.17,"£1,469.29","£194,386.08","£440,786.08",246400,932.6024964,,2,932.6277381
North East,Terraced,260000,2150,2023,6.6,6,D,No,First Timer,120.93,"£1,665.51","£255,253.14","£499,653.14",244400,860.3024808,,1,860.3275641
North East,Terraced,230000,1900,2023,6.6,6,D,No,First Timer,121.05,"£1,473.34","£225,800.86","£442,000.86",216200,760.3024783,,1,760.3275362
North East,Terraced,270000,2200,2023,6.6,6,D,No,First Timer,122.73,"£1,729.57","£265,070.57","£518,870.57",253800,880.3024444,,1,880.3271605
South East,Flat,350000,2850,2024,5.2,12,C,No,First Timer,122.81,"£1,836.61","£242,982.60","£550,982.60",308000,1140.602443,,2,1140.627143
South East,Flat,370000,3000,2024,5.2,12,C,No,First Timer,123.33,"£1,941.56","£256,867.32","£582,467.32",325600,1200.602432,,2,1200.627027
East of England,Flat,310000,2510,2024,5.3,10,C,No,First Timer,123.51,"£1,680.14","£225,042.40","£504,042.40",279000,1004.602429,,2,1004.626989
South East,Flat,372000,3010,2024,5.2,12,C,No,First Timer,123.59,"£1,952.05","£258,255.80","£585,615.80",327360,1204.602427,,2,1204.626971
South East,Flat,365000,2950,2024,5.2,12,C,No,First Timer,123.73,"£1,915.32","£253,396.14","£574,596.14",321200,1180.602425,,2,1180.626941
South East,Flat,360000,2900,2024,5.2,12,C,No,First Timer,124.14,"£1,889.08","£249,924.96","£566,724.96",316800,1160.602417,,2,1160.626852
South East,Flat,348000,2800,2024,5.2,12,C,No,First Timer,124.29,"£1,826.11","£241,594.13","£547,834.13",306240,1120.602414,,2,1120.62682
North East,Terraced,240000,1930,2024,5.3,6,D,No,First Timer,124.35,"£1,358.57","£181,969.77","£407,569.77",225600,772.3024125,,1,772.3268056
South East,Flat,345000,2750,2024,5.2,12,C,No,First Timer,125.45,"£1,810.37","£239,511.42","£543,111.42",303600,1100.602391,,2,1100.62657
North West,Terraced,252000,1990,2023,6.3,10,D,No,First Timer,126.63,"£1,503.15","£224,144.25","£450,944.25",226800,796.302369,,1,796.3263228
South East,Flat,343000,2700,2024,5.2,12,C,No,First Timer,127.04,"£1,799.88","£238,122.95","£539,962.95",301840,1080.602362,,2,1080.626239
South East,Flat,340000,2650,2024,5.2,12,C,No,First Timer,128.30,"£1,784.13","£236,040.24","£535,240.24",299200,1060.602338,,2,1060.62598
South East,Flat,310000,2400,2023,6,12,C,No,First Timer,129.17,"£1,757.65","£254,496.27","£527,296.27",272800,960.6023226,,2,960.6258065
East of England,Flat,330000,2510,2024,5.3,10,C,No,First Timer,131.47,"£1,788.54","£239,561.27","£536,561.27",297000,1004.602282,,2,1004.625354
South East,Flat,310000,2350,2024,5.2,12,C,No,First Timer,131.91,"£1,626.71","£215,213.16","£488,013.16",272800,940.6022742,,2,940.6252688
South East,Flat,330000,2500,2024,5.2,12,C,No,First Timer,132.00,"£1,731.66","£229,097.88","£519,497.88",290400,1000.602273,,2,1000.625253
South East,Flat,320000,2420,2024,5.2,12,C,No,First Timer,132.23,"£1,679.19","£222,155.52","£503,755.52",281600,968.6022688,,2,968.6252083
South East,Flat,315000,2380,2023,6,12,C,No,First Timer,132.35,"£1,786.00","£258,601.05","£535,801.05",277200,952.6022667,,2,952.6251852
South East,Flat,318000,2400,2023,6,12,C,No,First Timer,132.50,"£1,803.01","£261,063.91","£540,903.91",279840,960.6022642,,2,960.6251572
South East,Flat,325000,2450,2023,6,12,C,No,First Timer,132.65,"£1,842.70","£266,810.60","£552,810.60",286000,980.6022615,,2,980.6251282
South East,Flat,325000,2450,2024,5.2,12,C,No,First Timer,132.65,"£1,705.42","£225,626.70","£511,626.70",286000,980.6022615,,2,980.6251282
South East,Flat,292000,2190,2023,6,12,C,No,First Timer,133.33,"£1,655.60","£239,719.06","£496,679.06",256960,876.60225,,2,876.625
South East,Flat,300000,2250,2024,5.2,12,C,No,First Timer,133.33,"£1,574.24","£208,270.80","£472,270.80",264000,900.60225,,2,900.625
South East,Flat,340000,2550,2023,6,12,C,No,First Timer,133.33,"£1,927.75","£279,124.94","£578,324.94",299200,1020.60225,,2,1020.625
South East,Flat,320000,2400,2024,5.2,12,C,No,First Timer,133.33,"£1,679.19","£222,155.52","£503,755.52",281600,960.60225,,2,960.625
South East,Flat,310000,2300,2024,5.2,12,C,No,First Timer,134.78,"£1,626.71","£215,213.16","£488,013.16",272800,920.6022258,,2,920.6247312
South East,Flat,320000,2350,2024,5.2,12,C,No,First Timer,136.17,"£1,679.19","£222,155.52","£503,755.52",281600,940.6022031,,2,940.6244792
South East,Flat,325000,2380,2023,6,12,C,No,First Timer,136.55,"£1,842.70","£266,810.60","£552,810.60",286000,952.6021969,,2,952.6244103
North West,Semi Detached,365000,2550,2024,5.4,14,C,No,Upsizer,143.14,"£1,908.92","£258,775.94","£572,675.94",313900,1020.602096,,2,1020.623288
West Midlands,Terraced,330000,2300,2024,5.5,10,C,No,First Timer,143.48,"£1,823.84","£250,151.96","£547,151.96",297000,920.6020909,,2,920.6232323
North West,Semi Detached,360000,2500,2024,5.4,14,C,No,Upsizer,144.00,"£1,882.77","£255,231.07","£564,831.07",309600,1000.602083,,2,1000.623148
North West,Semi Detached,368000,2555,2024,5.4,14,C,No,Upsizer,144.03,"£1,924.61","£260,902.87","£577,382.87",316480,1022.602083,,2,1022.623143
West Midlands,Terraced,340000,2350,2023,6.4,10,C,No,First Timer,144.68,"£2,047.05","£308,116.18","£614,116.18",306000,940.6020735,,2,940.6230392
North West,Semi Detached,355000,2450,2024,5.4,14,C,No,Upsizer,144.90,"£1,856.62","£251,686.19","£556,986.19",305300,980.6020704,,2,980.6230047
East Midlands,Terraced,320000,2200,2024,5.4,10,C,No,First Timer,145.45,"£1,751.41","£237,424.25","£525,424.25",288000,880.6020625,,2,880.6229167
East Midlands,Terraced,335000,2300,2024,5.4,10,C,No,First Timer,145.65,"£1,833.51","£248,553.51","£550,053.51",301500,920.6020597,,2,920.6228856
East Midlands,Terraced,300000,2050,2024,5.4,10,C,No,First Timer,146.34,"£1,641.95","£222,585.23","£492,585.23",270000,820.60205,,2,820.6227778
East Midlands,Terraced,290000,1980,2024,5.4,10,C,No,First Timer,146.46,"£1,587.22","£215,165.73","£476,165.73",261000,792.6020483,,2,792.6227586
East Midlands,Terraced,305000,2080,2023,6.6,10,C,No,First Timer,146.63,"£1,870.63","£286,689.80","£561,189.80",274500,832.6020459,,2,832.6227322
East Midlands,Terraced,330000,2250,2023,6.6,10,C,No,First Timer,146.67,"£2,023.96","£310,188.97","£607,188.97",297000,900.6020455,,2,900.6227273
North West,Semi Detached,352000,2400,2024,5.4,14,C,No,Upsizer,146.67,"£1,840.93","£249,559.27","£552,279.27",302720,960.6020455,,2,960.6227273
East Midlands,Terraced,285000,1940,2023,6.5,10,C,No,First Timer,146.91,"£1,731.91","£263,071.91","£519,571.91",256500,776.6020421,,2,776.6226901
East of England,Terraced,390000,2650,2024,5.3,10,C,No,First Timer,147.17,"£2,113.73","£283,117.86","£634,117.86",351000,1060.602038,,2,1060.62265
East Midlands,Terraced,280000,1900,2024,5.4,10,C,No,First Timer,147.37,"£1,532.49","£207,746.22","£459,746.22",252000,760.6020357,,2,760.622619
East of England,Terraced,392000,2660,2024,5.3,10,C,No,First Timer,147.37,"£2,124.57","£284,569.75","£637,369.75",352800,1064.602036,,2,1064.622619
West Midlands,Terraced,295000,2000,2023,6.4,10,C,No,First Timer,147.50,"£1,776.12","£267,336.10","£532,836.10",265500,800.6020339,,2,800.6225989
East Midlands,Terraced,295000,2000,2023,6.6,10,C,No,First Timer,147.50,"£1,809.30","£277,290.14","£542,790.14",265500,800.6020339,,2,800.6225989
West Midlands,Terraced,310000,2100,2024,5.5,10,C,No,First Timer,147.62,"£1,713.30","£234,991.23","£513,991.23",279000,840.6020323,,2,840.6225806
East Midlands,Terraced,310000,2100,2024,5.4,10,C,No,First Timer,147.62,"£1,696.68","£230,004.74","£509,004.74",279000,840.6020323,,2,840.6225806
West Midlands,Terraced,285000,1930,2023,6.4,10,C,No,First Timer,147.67,"£1,715.91","£258,273.86","£514,773.86",256500,772.6020316,,2,772.6225731
West Midlands,Terraced,300000,2030,2024,5.5,10,C,No,First Timer,147.78,"£1,658.04","£227,410.87","£497,410.87",270000,812.60203,,2,812.6225556
East of England,Terraced,370000,2500,2024,5.3,10,C,No,First Timer,148.00,"£2,005.33","£268,599.00","£601,599.00",333000,1000.602027,,2,1000.622523
East of England,Terraced,385000,2600,2024,5.3,10,C,No,First Timer,148.08,"£2,086.63","£279,488.14","£625,988.14",346500,1040.602026,,2,1040.622511
West Midlands,Terraced,292000,1970,2023,6.4,10,C,No,First Timer,148.22,"£1,758.06","£264,617.43","£527,417.43",262800,788.602024,,2,788.6224886
West Midlands,Terraced,315000,2120,2023,6.4,10,C,No,First Timer,148.58,"£1,896.54","£285,460.58","£568,960.58",283500,848.602019,,2,848.6224339
West Midlands,Terraced,305000,2050,2023,6.4,10,C,No,First Timer,148.78,"£1,836.33","£276,398.34","£550,898.34",274500,820.6020164,,2,820.6224044
North West,Semi Detached,350000,2350,2024,5.4,14,C,No,Upsizer,148.94,"£1,830.47","£248,141.32","£549,141.32",301000,940.6020143,,2,940.622381
East of England,Terraced,380000,2550,2024,5.3,10,C,No,First Timer,149.02,"£2,059.53","£275,858.43","£617,858.43",342000,1020.602013,,2,1020.622368
East Midlands,Terraced,278000,1860,2024,5.6,10,C,No,First Timer,149.46,"£1,551.42","£215,227.34","£465,427.34",250200,744.6020072,,2,744.6223022
West Midlands,Terraced,320000,2140,2024,5.5,10,C,No,First Timer,149.53,"£1,768.57","£242,571.59","£530,571.59",288000,856.6020063,,2,856.6222917
West Midlands,Terraced,300000,2000,2023,6.4,10,C,No,First Timer,150.00,"£1,806.22","£271,867.22","£541,867.22",270000,800.602,,2,800.6222222
London,Flat,510000,3400,2024,5,12,C,No,First Timer,150.00,"£2,623.64","£338,292.03","£787,092.03",448800,1360.602,,2,1360.622222
East of England,Terraced,368000,2450,2024,5.3,10,C,No,First Timer,150.20,"£1,994.49","£267,147.11","£598,347.11",331200,980.6019973,,2,980.622192
London,Flat,505000,3350,2024,5,12,C,No,First Timer,150.75,"£2,597.92","£334,975.44","£779,375.44",444400,1340.60199,,2,1340.622112
West Midlands,Terraced,284000,1880,2024,5.5,10,C,No,First Timer,151.06,"£1,569.61","£215,282.29","£470,882.29",255600,752.6019859,,2,752.6220657
London,Flat,515000,3405,2024,5,12,C,No,First Timer,151.25,"£2,649.36","£341,608.62","£794,808.62",453200,1362.601983,,2,1362.622039
North West,Semi Detached,348000,2300,2024,5.4,14,C,No,Upsizer,151.30,"£1,820.01","£246,723.37","£546,003.37",299280,920.6019828,,2,920.6220307
East Midlands,Terraced,300000,1980,2024,5.4,10,C,No,First Timer,151.52,"£1,641.95","£222,585.23","£492,585.23",270000,792.60198,,2,792.622
London,Flat,500000,3300,2024,5,12,C,No,First Timer,151.52,"£2,572.20","£331,658.85","£771,658.85",440000,1320.60198,,2,1320.622
East Midlands,Terraced,272000,1790,2023,6.5,10,C,No,First Timer,151.96,"£1,652.91","£251,072.14","£495,872.14",244800,716.6019743,,2,716.6219363
East Midlands,Terraced,295000,1940,2023,6.5,10,C,No,First Timer,152.06,"£1,792.68","£272,302.50","£537,802.50",265500,776.6019729,,2,776.6219209
East of England,Terraced,365000,2400,2024,5.3,10,C,No,First Timer,152.08,"£1,978.23","£264,969.28","£593,469.28",328500,960.6019726,,2,960.6219178
London,Flat,495000,3250,2024,5,12,C,No,First Timer,152.31,"£2,546.47","£328,342.27","£763,942.27",435600,1300.60197,,2,1300.621886
West Midlands,Terraced,310000,2030,2024,5.5,10,C,No,First Timer,152.71,"£1,713.30","£234,991.23","£513,991.23",279000,812.6019645,,2,812.621828
North West,Semi Detached,345000,2250,2024,5.4,14,C,No,Upsizer,153.33,"£1,804.32","£244,596.44","£541,296.44",296700,900.6019565,,2,900.6217391
South East,Terraced,362000,2360,2024,5.4,10,C,No,First Timer,153.39,"£1,981.29","£268,586.18","£594,386.18",325800,944.6019558,,2,944.6217311
London,Flat,492000,3200,2024,5,12,C,No,First Timer,153.75,"£2,531.04","£326,352.31","£759,312.31",432960,1280.601951,,2,1280.62168
South East,Terraced,400000,2600,2023,6.1,10,C,No,First Timer,153.85,"£2,341.54","£342,462.25","£702,462.25",360000,1040.60195,,2,1040.621667
East of England,Terraced,362000,2350,2024,5.3,10,C,No,First Timer,154.04,"£1,961.97","£262,791.45","£588,591.45",325800,940.6019475,,2,940.621639
South East,Terraced,370000,2400,2024,5.4,10,C,No,First Timer,154.17,"£2,025.07","£274,521.79","£607,521.79",333000,960.6019459,,2,960.6216216
North West,Semi Detached,340000,2200,2024,5.4,14,C,No,Upsizer,154.55,"£1,778.17","£241,051.56","£533,451.56",292400,880.6019412,,2,880.6215686
East Midlands,Terraced,310000,2000,2023,6.6,10,C,No,First Timer,155.00,"£1,901.30","£291,389.64","£570,389.64",279000,800.6019355,,2,800.6215054
South East,Terraced,380000,2450,2023,6.1,10,C,No,First Timer,155.10,"£2,224.46","£325,339.14","£667,339.14",342000,980.6019342,,2,980.6214912
North West,Semi Detached,308000,1980,2024,5.5,12,C,No,Upsizer,155.56,"£1,664.42","£228,286.82","£499,326.82",271040,792.6019286,,2,792.6214286
North West,Semi Detached,350000,2250,2024,5.4,12,C,No,Upsizer,155.56,"£1,873.04","£253,912.04","£561,912.04",308000,900.6019286,,2,900.6214286
London,Flat,490000,3150,2024,5,12,C,No,First Timer,155.56,"£2,520.75","£325,025.68","£756,225.68",431200,1260.601929,,2,1260.621429
East Midlands,Semi Detached,405000,2600,2024,5.3,18,B,No,Upsizer,155.77,"£1,999.91","£267,873.05","£599,973.05",332100,1040.901926,,3,1040.921399
West Midlands,Terraced,320000,2050,2023,6.4,10,C,No,First Timer,156.10,"£1,926.64","£289,991.70","£577,991.70",288000,820.6019219,,2,820.6213542
East Midlands,Semi Detached,408000,2610,2024,5.3,18,B,No,Upsizer,156.32,"£2,014.72","£269,857.30","£604,417.30",334560,1044.901919,,3,1044.921324
North West,Semi Detached,360000,2300,2024,5.4,14,C,No,Upsizer,156.52,"£1,882.77","£255,231.07","£564,831.07",309600,920.6019167,,2,920.6212963
East of England,Terraced,360000,2300,2024,5.3,10,C,No,First Timer,156.52,"£1,951.13","£261,339.56","£585,339.56",324000,920.6019167,,2,920.6212963
East Midlands,Semi Detached,400000,2550,2024,5.3,18,B,No,Upsizer,156.86,"£1,975.22","£264,565.98","£592,565.98",328000,1020.901913,,3,1020.92125
North West,Semi Detached,330000,2100,2024,5.4,12,C,No,Upsizer,157.14,"£1,766.01","£239,402.78","£529,802.78",290400,840.6019091,,2,840.6212121
London,Flat,488000,3100,2024,5,12,C,No,First Timer,157.42,"£2,510.46","£323,699.04","£753,139.04",429440,1240.601906,,2,1240.621175
South West,Terraced,370000,2350,2024,5.3,10,C,No,First Timer,157.45,"£2,005.33","£268,599.00","£601,599.00",333000,940.6019054,,2,940.6211712
North West,Semi Detached,315000,2000,2023,6.3,14,C,No,Upsizer,157.50,"£1,795.43","£267,727.86","£538,627.86",270900,800.6019048,,2,800.621164
North West,Semi Detached,320000,2030,2024,5.4,14,C,No,Upsizer,157.64,"£1,673.57","£226,872.06","£502,072.06",275200,812.6019031,,2,812.6211458
North West,Semi Detached,300000,1900,2023,6.3,12,C,No,Upsizer,157.89,"£1,749.70","£260,908.65","£524,908.65",264000,760.6019,,2,760.6211111
East Midlands,Semi Detached,395000,2500,2024,5.3,18,B,No,Upsizer,158.00,"£1,950.53","£261,258.90","£585,158.90",323900,1000.901899,,3,1000.921097
North West,Semi Detached,335000,2120,2023,6.3,14,C,No,Upsizer,158.02,"£1,909.42","£284,726.45","£572,826.45",288100,848.6018985,,2,848.6210945
North West,Semi Detached,340000,2150,2024,5.4,14,C,No,Upsizer,158.14,"£1,778.17","£241,051.56","£533,451.56",292400,860.6018971,,2,860.6210784
South East,Terraced,380000,2400,2024,5.4,10,C,No,First Timer,158.33,"£2,079.80","£281,941.30","£623,941.30",342000,960.6018947,,2,960.6210526
South West,Terraced,365000,2300,2024,5.3,10,C,No,First Timer,158.70,"£1,978.23","£264,969.28","£593,469.28",328500,920.6018904,,2,920.6210046
North West,Semi Detached,310000,1950,2023,6.3,14,C,No,Upsizer,158.97,"£1,766.93","£263,478.21","£530,078.21",266600,780.6018871,,2,780.6209677
London,Flat,485000,3050,2024,5,12,C,No,First Timer,159.02,"£2,495.03","£321,709.09","£748,509.09",426800,1220.601887,,2,1220.620962
Yorkshire,Semi Detached,315000,1980,2023,6.2,15,C,No,Upsizer,159.09,"£1,758.00","£259,649.57","£527,399.57",267750,792.6018857,,2,792.6209524
Yorkshire,Semi Detached,350000,2200,2024,5.5,12,C,No,Upsizer,159.09,"£1,891.39","£259,416.84","£567,416.84",308000,880.6018857,,2,880.6209524
North West,Semi Detached,315000,1980,2024,5.5,12,C,No,Upsizer,159.09,"£1,702.25","£233,475.16","£510,675.16",277200,792.6018857,,2,792.6209524
North West,Semi Detached,298000,1870,2024,5.4,14,C,No,Upsizer,159.36,"£1,558.52","£211,274.61","£467,554.61",256280,748.6018826,,2,748.6209172
South West,Terraced,360000,2250,2024,5.3,10,C,No,First Timer,160.00,"£1,951.13","£261,339.56","£585,339.56",324000,900.601875,,2,900.6208333
South West,Terraced,322000,2010,2024,5.3,10,C,No,First Timer,160.20,"£1,745.18","£233,753.72","£523,553.72",289800,804.6018727,,2,804.6208075
Yorkshire,Semi Detached,345000,2150,2024,5.5,12,C,No,Upsizer,160.47,"£1,864.37","£255,710.89","£559,310.89",303600,860.6018696,,2,860.6207729
South West,Terraced,326000,2030,2023,6.1,10,C,No,First Timer,160.59,"£1,908.36","£279,106.74","£572,506.74",293400,812.6018681,,2,812.6207566
South West,Terraced,330000,2050,2024,5.3,10,C,No,First Timer,160.98,"£1,788.54","£239,561.27","£536,561.27",297000,820.6018636,,2,820.6207071
Yorkshire,Semi Detached,330000,2050,2024,5.5,12,C,No,Upsizer,160.98,"£1,783.31","£244,593.02","£534,993.02",290400,820.6018636,,2,820.6207071
North West,Semi Detached,330000,2050,2024,5.4,14,C,No,Upsizer,160.98,"£1,725.87","£233,961.81","£517,761.81",283800,820.6018636,,2,820.6207071
South West,Terraced,335000,2080,2024,5.3,10,C,No,First Timer,161.06,"£1,815.64","£243,190.98","£544,690.98",301500,832.6018627,,2,832.6206965
Yorkshire,Semi Detached,300000,1860,2024,5.5,12,C,No,Upsizer,161.29,"£1,621.19","£222,357.29","£486,357.29",264000,744.60186,,2,744.6206667
Yorkshire,Semi Detached,320000,1980,2023,6.2,15,C,No,Upsizer,161.62,"£1,785.90","£263,770.99","£535,770.99",272000,792.6018563,,2,792.620625
South West,Terraced,340000,2100,2023,6.1,10,C,No,First Timer,161.90,"£1,990.31","£291,092.91","£597,092.91",306000,840.6018529,,2,840.6205882
Yorkshire,Semi Detached,340000,2100,2024,5.4,15,C,No,Upsizer,161.90,"£1,757.50","£238,248.64","£527,248.64",289000,840.6018529,,2,840.6205882
Yorkshire,Semi Detached,312000,1920,2024,5.5,12,C,No,Upsizer,162.50,"£1,686.04","£231,251.59","£505,811.59",274560,768.6018462,,2,768.6205128
Yorkshire,Semi Detached,325000,2000,2024,5.5,12,C,No,Upsizer,162.50,"£1,756.29","£240,887.07","£526,887.07",286000,800.6018462,,2,800.6205128
North West,Semi Detached,325000,2000,2024,5.4,14,C,No,Upsizer,162.50,"£1,699.72","£230,416.94","£509,916.94",279500,800.6018462,,2,800.6205128
South West,Terraced,345000,2120,2024,5.3,10,C,No,First Timer,162.74,"£1,869.83","£250,450.41","£560,950.41",310500,848.6018435,,2,848.6204831
South West,Terraced,350000,2150,2023,6.1,10,C,No,First Timer,162.79,"£2,048.85","£299,654.47","£614,654.47",315000,860.6018429,,2,860.6204762
East of England,Terraced,350000,2150,2024,5.3,10,C,No,First Timer,162.79,"£1,896.93","£254,080.13","£569,080.13",315000,860.6018429,,2,860.6204762
South West,Terraced,355000,2180,2024,5.3,10,C,No,First Timer,162.84,"£1,924.03","£257,709.85","£577,209.85",319500,872.6018423,,2,872.6204695
Yorkshire,Semi Detached,318000,1950,2024,5.5,12,C,No,Upsizer,163.08,"£1,718.46","£235,698.73","£515,538.73",279840,780.6018396,,2,780.6204403
Yorkshire,Semi Detached,298000,1820,2023,6.3,12,C,No,Upsizer,163.74,"£1,738.03","£259,169.26","£521,409.26",262240,728.6018322,,2,728.6203579
London,Flat,475000,2900,2024,5,12,C,No,First Timer,163.79,"£2,443.59","£315,075.91","£733,075.91",418000,1160.601832,,2,1160.620351
East Midlands,Semi Detached,385000,2350,2024,5.3,18,B,No,Upsizer,163.83,"£1,901.15","£254,644.75","£570,344.75",315700,940.9018312,,3,940.9203463
North West,Semi Detached,320000,1950,2024,5.4,14,C,No,Upsizer,164.10,"£1,673.57","£226,872.06","£502,072.06",275200,780.6018281,,2,780.6203125
Yorkshire,Semi Detached,325000,1980,2023,6.2,15,C,No,Upsizer,164.14,"£1,813.81","£267,892.41","£544,142.41",276250,792.6018277,,2,792.6203077
East of England,Terraced,345000,2100,2024,5.3,10,C,No,First Timer,164.29,"£1,869.83","£250,450.41","£560,950.41",310500,840.6018261,,2,840.6202899
North West,Semi Detached,305000,1850,2024,5.4,14,C,No,First Timer,164.86,"£1,595.12","£216,237.43","£478,537.43",262300,740.6018197,,2,740.6202186
North West,Semi Detached,330000,2000,2023,6.3,14,C,No,Upsizer,165.00,"£1,880.92","£280,476.80","£564,276.80",283800,800.6018182,,2,800.620202
North East,Semi Detached,278000,1680,2024,5.4,12,C,No,Upsizer,165.48,"£1,487.73","£201,678.71","£446,318.71",244640,672.6018129,,2,672.6201439
Yorkshire,Semi Detached,305000,1840,2024,5.2,15,C,No,Upsizer,165.76,"£1,545.91","£204,523.51","£463,773.51",259250,736.6018098,,2,736.6201093
South West,Terraced,340000,2050,2024,5.3,10,C,No,First Timer,165.85,"£1,842.74","£246,820.70","£552,820.70",306000,820.6018088,,2,820.620098
East of England,Terraced,340000,2050,2024,5.3,10,C,No,First Timer,165.85,"£1,842.74","£246,820.70","£552,820.70",306000,820.6018088,,2,820.620098
South West,Terraced,345000,2080,2024,5.3,10,C,No,First Timer,165.87,"£1,869.83","£250,450.41","£560,950.41",310500,832.6018087,,2,832.6200966
London,Flat,465000,2800,2024,5,12,D,No,First Timer,166.07,"£2,392.14","£308,442.73","£717,642.73",409200,1120.301806,,1,1120.320072
East Midlands,Semi Detached,382000,2300,2024,5.3,18,B,No,Upsizer,166.09,"£1,886.34","£252,660.51","£565,900.51",313240,920.9018063,,3,920.9200698
North East,Semi Detached,270000,1620,2024,5.4,12,C,No,Upsizer,166.67,"£1,444.92","£195,875.01","£433,475.01",237600,648.6018,,2,648.62
London,Flat,450000,2700,2023,6,10,C,No,First Timer,166.67,"£2,609.42","£377,826.20","£782,826.20",405000,1080.6018,,2,1080.62
North East,Semi Detached,275000,1650,2023,6.5,12,C,No,Upsizer,166.67,"£1,634.00","£248,200.40","£490,200.40",242000,660.6018,,2,660.62
North East,Semi Detached,300000,1800,2023,6.5,12,C,No,Upsizer,166.67,"£1,782.55","£270,764.07","£534,764.07",264000,720.6018,,2,720.62
Yorkshire,Semi Detached,320000,1920,2024,5.5,12,C,No,Upsizer,166.67,"£1,729.27","£237,181.11","£518,781.11",281600,768.6018,,2,768.62
South West,Terraced,350000,2100,2023,6.1,10,C,No,First Timer,166.67,"£2,048.85","£299,654.47","£614,654.47",315000,840.6018,,2,840.62
Yorkshire,Semi Detached,325000,1950,2024,5.5,12,C,No,Upsizer,166.67,"£1,756.29","£240,887.07","£526,887.07",286000,780.6018,,2,780.62
London,Flat,432000,2590,2023,6.1,10,C,No,First Timer,166.80,"£2,528.86","£369,859.23","£758,659.23",388800,1036.601799,,2,1036.619985
London,Flat,460000,2750,2024,5,12,C,No,First Timer,167.27,"£2,366.42","£305,126.15","£709,926.15",404800,1100.601793,,2,1100.619928
London,Flat,455000,2720,2024,5,10,C,No,First Timer,167.28,"£2,393.90","£308,668.87","£718,168.87",409500,1088.601793,,2,1088.619927
North West,Semi Detached,340000,2030,2024,5.4,14,C,No,Upsizer,167.49,"£1,778.17","£241,051.56","£533,451.56",292400,812.6017912,,2,812.619902
East of England,Terraced,335000,2000,2024,5.3,10,C,No,First Timer,167.50,"£1,815.64","£243,190.98","£544,690.98",301500,800.601791,,2,800.6199005
North East,Semi Detached,310000,1850,2023,6.5,12,C,No,Upsizer,167.57,"£1,841.97","£279,789.54","£552,589.54",272800,740.6017903,,2,740.6198925
North East,Semi Detached,285000,1700,2024,5.4,12,C,No,Upsizer,167.65,"£1,525.19","£206,756.95","£457,556.95",250800,680.6017895,,2,680.619883
London,Flat,470000,2800,2024,5,10,C,No,First Timer,167.86,"£2,472.82","£318,844.76","£741,844.76",423000,1120.601787,,2,1120.619858
London,Flat,450000,2680,2024,5,12,C,No,First Timer,167.91,"£2,314.98","£298,492.97","£694,492.97",396000,1072.601787,,2,1072.619852
London,Flat,475000,2820,2023,6,10,C,No,First Timer,168.44,"£2,754.39","£398,816.55","£826,316.55",427500,1128.601781,,2,1128.619789
London,Flat,438000,2600,2024,5,12,C,No,First Timer,168.46,"£2,253.24","£290,533.16","£675,973.16",385440,1040.601781,,2,1040.619787
London,Flat,455000,2700,2024,5,12,C,No,Upsizer,168.52,"£2,340.70","£301,809.56","£702,209.56",400400,1080.60178,,2,1080.61978
