Journey_ID,Day_of_Week,Time_of_Day,Transport_Mode,Distance_km,Journey_Duration_mins,Average_Speed,Delay_mins,Weather_Type,Temperature_C,Air_Quality_Index,CO2_Emissions_g,Passenger_Count,Ticket_Price,Satisfaction_Score,Incident_Reported,Late_Arrival,Frequent_Traveller 
1183,Saturday,15:25:00,Train,22.1,49,26.9,2,Cloudy,25,100,160,160,3.60,7,No,Yes,Yes
1184,Saturday,15:40:00,Bike,3.8,16,14.3,0,Cloudy,25,98,0,1,NA,8,No,No,No
1185,Saturday,15:55:00,Walk,1,17,3.6,0,Cloudy,24,96,0,1,NA,9,No,No,No
1186,Saturday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No
1187,Saturday,16:25:00,Car,8.2,33,14.9,9,Rain,22,125,430,1,4.30,5,No,Yes,Yes
1188,Saturday,16:40:00,Bus,12.3,51,14.5,16,Rain,21,140,360,35,2.90,4,Yes,Yes,No
1189,Saturday,16:55:00,Train,19.3,44,25.4,4,Rain,20,150,170,170,3.70,6,No,Yes,Yes
1190,Saturday,17:10:00,Bike,3.5,16,12.9,0,Rain,20,148,0,1,NA,7,No,No,No
1191,Saturday,17:25:00,Walk,1.1,19,3.2,0,Rain,19,145,0,1,NA,7,No,No,No
1192,Saturday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No
1193,Saturday,17:55:00,Car,7.7,29,16,6,Cloudy,18,130,420,1,4.20,6,No,Yes,Yes
1194,Saturday,18:10:00,Bus,11.7,41,16.3,5,Cloudy,18,125,350,32,2.80,7,No,No,No
1195,Saturday,18:25:00,Train,20.5,46,26,2,Cloudy,17,120,160,160,3.60,8,No,No,Yes
1196,Saturday,18:40:00,Bike,3.9,17,14.1,0,Cloudy,17,118,0,1,NA,8,No,No,No
1197,Saturday,18:55:00,Walk,1.2,18,4,0,Cloudy,17,115,0,1,NA,9,No,No,No
1198,Saturday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No
1199,Saturday,19:25:00,Car,6.8,23,17.7,0,Clear,18,108,390,1,4.00,9,No,No,Yes
1200,Saturday,19:40:00,Bus,10.7,36,17.8,1,Clear,19,105,330,29,2.70,8,No,No,No
1201,Saturday,19:55:00,Train,19.9,43,27.4,0,Clear,19,102,150,150,3.50,9,No,No,Yes
1202,Saturday,20:10:00,Bike,3.7,16,14.5,0,Clear,18,100,0,1,NA,9,No,No,No
1203,Saturday,20:25:00,Walk,1,17,3.7,0,Clear,18,98,0,1,NA,10,No,No,No
1204,Saturday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No
1205,Saturday,20:55:00,Car,7,24,17.5,0,Clear,17,93,410,1,4.10,9,No,No,Yes
1206,Saturday,21:10:00,Bus,10.6,35,17.9,1,Clear,16,90,330,28,2.70,8,No,No,No
1207,Saturday,21:25:00,Train,20.1,44,27.1,0,Clear,16,88,150,150,3.50,9,No,No,Yes
1208,Saturday,21:40:00,Bike,3.8,16,14.3,0,Clear,15,86,0,1,NA,9,No,No,No
1209,Saturday,21:55:00,Walk,1.1,17,3.8,0,Clear,15,85,0,1,NA,10,No,No,No
1210,Saturday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No
1211,Saturday,22:25:00,Car,7.2,25,17.3,0,Clear,14,82,410,1,4.10,9,No,No,Yes
1212,Saturday,22:40:00,Bus,10.8,36,17.6,1,Clear,13,80,330,29,2.70,8,No,No,No
1213,Saturday,22:55:00,Train,19.7,43,27.3,0,Clear,13,78,150,150,3.50,9,No,No,Yes
1214,Saturday,23:10:00,Bike,3.6,15,14.4,0,Clear,12,76,0,1,NA,9,No,No,No
1215,Saturday,23:25:00,Walk,1,16,3.7,0,Clear,12,75,0,1,NA,10,No,No,No
1216,Saturday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No
1217,Saturday,23:55:00,Car,7,24,17.5,0,Clear,11,72,390,1,4.00,9,No,No,Yes
1218,Sunday,00:10:00,Bus,10.9,37,17.8,2,Cloudy,10,70,340,30,2.80,8,No,No,No
1219,Sunday,00:25:00,Train,20.4,46,26.7,1,Cloudy,10,68,160,160,3.60,8,No,No,Yes
1220,Sunday,00:40:00,Bike,3.7,15,14.6,0,Cloudy,9,66,0,1,NA,9,No,No,No
1221,Sunday,00:55:00,Walk,1.2,18,4,0,Cloudy,9,65,0,1,NA,10,No,No,No
1222,Sunday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No
1223,Sunday,01:25:00,Car,7.3,26,17,0,Clear,8,62,420,1,4.20,9,No,No,Yes
1224,Sunday,01:40:00,Bus,11.1,38,17.4,2,Clear,7,60,330,29,2.70,8,No,No,No
1225,Sunday,01:55:00,Train,21.3,48,26.8,1,Clear,7,58,160,160,3.60,9,No,No,Yes
1226,Sunday,02:10:00,Bike,3.8,16,14.2,0,Clear,6,56,0,1,NA,9,No,No,No
1227,Sunday,02:25:00,Walk,1.1,17,3.8,0,Clear,6,55,0,1,NA,10,No,No,No
1228,Sunday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No
1229,Sunday,02:55:00,Car,7.1,25,17,0,Clear,5,52,410,1,4.10,9,No,No,Yes
1230,Sunday,03:10:00,Bus,10.7,36,17.7,1,Cloudy,5,50,330,29,2.80,7,No,No,No
1231,Sunday,03:25:00,Train,20.6,46,26.9,1,Cloudy,4,48,160,160,3.60,8,No,No,Yes
1232,Sunday,03:40:00,Bike,3.9,17,14.1,0,Cloudy,4,47,0,1,NA,8,No,No,No
1233,Sunday,03:55:00,Walk,1,16,3.6,0,Cloudy,3,46,0,1,NA,9,No,No,No
1234,Sunday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No
1235,Sunday,04:25:00,Car,6.9,24,17.3,0,Clear,3,44,390,1,4.00,9,No,No,Yes
1236,Sunday,04:40:00,Bus,10.5,35,17.8,1,Clear,2,42,330,28,2.70,8,No,No,No
1237,Sunday,04:55:00,Train,19.9,43,27.4,0,Clear,2,41,150,150,3.50,9,No,No,Yes
1238,Sunday,05:10:00,Bike,3.6,15,14.4,0,Clear,2,40,0,1,NA,9,No,No,No
1239,Sunday,05:25:00,Walk,1.2,17,4.1,0,Clear,2,39,0,1,NA,10,No,No,No
1240,Sunday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No
1241,Sunday,05:55:00,Car,7.4,26,16.8,1,Cloudy,4,45,420,1,4.20,8,No,No,Yes
1242,Sunday,06:10:00,Bus,11.2,39,16.9,3,Cloudy,5,55,340,30,2.80,7,No,Yes,No
1243,Sunday,06:25:00,Train,22.3,49,26.9,2,Cloudy,6,60,160,160,3.60,7,No,Yes,Yes
1244,Sunday,06:40:00,Bike,3.9,16,14.6,0,Cloudy,7,62,0,1,NA,8,No,No,No
1245,Sunday,06:55:00,Walk,1.1,18,3.8,0,Cloudy,8,65,0,1,NA,9,No,No,No
1246,Sunday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No
1247,Sunday,07:25:00,Car,8.1,32,15,8,Rain,10,90,430,1,4.30,5,No,Yes,Yes
1248,Sunday,07:40:00,Bus,12.3,50,14.6,15,Rain,11,110,360,35,2.90,4,Yes,Yes,No
1249,Sunday,07:55:00,Train,19.1,45,25.3,4,Rain,12,120,170,170,3.70,6,No,Yes,Yes
1250,Sunday,08:10:00,Bike,3.4,16,12.8,0,Rain,12,118,0,1,NA,7,No,No,No
1251,Sunday,08:25:00,Walk,1,19,3.1,0,Rain,13,125,0,1,NA,7,No,No,No
1252,Sunday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No
1253,Sunday,08:55:00,Car,7.6,28,16.3,5,Rain,14,135,420,1,4.20,6,No,Yes,Yes
1254,Sunday,09:10:00,Bus,11.5,42,16.4,7,Rain,14,140,350,32,2.80,5,Yes,Yes,No
1255,Sunday,09:25:00,Train,20.3,47,25.9,3,Rain,15,145,160,160,3.60,6,No,Yes,Yes
1256,Sunday,09:40:00,Bike,3.8,17,13.4,0,Rain,15,142,0,1,NA,7,No,No,No
1257,Sunday,09:55:00,Walk,1.1,19,3.5,0,Rain,16,140,0,1,NA,7,No,No,No
1258,Sunday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No
1259,Sunday,10:25:00,Car,6.9,23,18,1,Cloudy,18,120,390,1,4.00,8,No,No,Yes
1260,Sunday,10:40:00,Bus,10.8,35,18.5,2,Cloudy,18,118,330,29,2.70,8,No,No,No
1261,Sunday,10:55:00,Train,19.6,43,27.3,1,Cloudy,19,115,150,150,3.50,9,No,No,Yes
1262,Sunday,11:10:00,Bike,3.7,16,13.9,0,Clear,20,110,0,1,NA,9,No,No,No
1263,Sunday,11:25:00,Walk,1,17,3.6,0,Clear,20,108,0,1,NA,10,No,No,No
1264,Sunday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No
1265,Sunday,11:55:00,Car,7.1,25,17,0,Clear,21,102,410,1,4.10,9,No,No,Yes
1266,Sunday,12:10:00,Bus,11,38,17.4,3,Clear,22,100,340,30,2.80,8,No,No,No
1267,Sunday,12:25:00,Train,21.4,48,26.8,1,Clear,22,98,160,160,3.60,9,No,No,Yes
1268,Sunday,12:40:00,Bike,3.9,16,14.6,0,Clear,23,95,0,1,NA,9,No,No,No
1269,Sunday,12:55:00,Walk,1.2,18,4,0,Clear,23,94,0,1,NA,10,No,No,No
1270,Sunday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No
1271,Sunday,13:25:00,Car,7.4,26,17.1,0,Clear,24,90,420,1,4.20,9,No,No,Yes
1272,Sunday,13:40:00,Bus,10.9,37,17.8,2,Clear,25,88,330,29,2.70,8,No,No,No
1273,Sunday,13:55:00,Train,20.2,45,27,1,Clear,25,86,150,150,3.50,9,No,No,Yes
1274,Sunday,14:10:00,Bike,3.6,15,14.4,0,Clear,26,85,0,1,NA,9,No,No,No
1275,Sunday,14:25:00,Walk,1.1,17,3.8,0,Clear,26,84,0,1,NA,10,No,No,No
1276,Sunday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No
1277,Sunday,14:55:00,Car,7,24,17.5,1,Cloudy,27,90,390,1,4.00,8,No,No,Yes
1278,Sunday,15:10:00,Bus,11.3,39,17.3,4,Cloudy,26,95,340,31,2.80,7,No,Yes,No
1279,Sunday,15:25:00,Train,22.1,49,26.9,2,Cloudy,25,100,160,160,3.60,7,No,Yes,Yes
1280,Sunday,15:40:00,Bike,3.8,16,14.3,0,Cloudy,25,98,0,1,NA,8,No,No,No
1281,Sunday,15:55:00,Walk,1,17,3.6,0,Cloudy,24,96,0,1,NA,9,No,No,No
1282,Sunday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No
1283,Sunday,16:25:00,Car,8.2,33,14.9,9,Rain,22,125,430,1,4.30,5,No,Yes,Yes
1284,Sunday,16:40:00,Bus,12.3,51,14.5,16,Rain,21,140,360,35,2.90,4,Yes,Yes,No
1285,Sunday,16:55:00,Train,19.3,44,25.4,4,Rain,20,150,170,170,3.70,6,No,Yes,Yes
1286,Sunday,17:10:00,Bike,3.5,16,12.9,0,Rain,20,148,0,1,NA,7,No,No,No
1287,Sunday,17:25:00,Walk,1.1,19,3.2,0,Rain,19,145,0,1,NA,7,No,No,No
1288,Sunday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No
1289,Sunday,17:55:00,Car,7.7,29,16,6,Cloudy,18,130,420,1,4.20,6,No,Yes,Yes
1290,Sunday,18:10:00,Bus,11.7,41,16.3,5,Cloudy,18,125,350,32,2.80,7,No,No,No
1291,Sunday,18:25:00,Train,20.5,46,26,2,Cloudy,17,120,160,160,3.60,8,No,No,Yes
1292,Sunday,18:40:00,Bike,3.9,17,14.1,0,Cloudy,17,118,0,1,NA,8,No,No,No
1293,Sunday,18:55:00,Walk,1.2,18,4,0,Cloudy,17,115,0,1,NA,9,No,No,No
1294,Sunday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No
1295,Sunday,19:25:00,Car,6.8,23,17.7,0,Clear,18,108,390,1,4.00,9,No,No,Yes
1296,Sunday,19:40:00,Bus,10.7,36,17.8,1,Clear,19,105,330,29,2.70,8,No,No,No
1297,Sunday,19:55:00,Train,19.9,43,27.4,0,Clear,19,102,150,150,3.50,9,No,No,Yes
1298,Sunday,20:10:00,Bike,3.7,16,14.5,0,Clear,18,100,0,1,NA,9,No,No,No
1299,Sunday,20:25:00,Walk,1,17,3.7,0,Clear,18,98,0,1,NA,10,No,No,No
1300,Sunday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No
1301,Sunday,20:55:00,Car,7,24,17.5,0,Clear,17,93,410,1,4.10,9,No,No,Yes
1302,Sunday,21:10:00,Bus,10.6,35,17.9,1,Clear,16,90,330,28,2.70,8,No,No,No
1303,Sunday,21:25:00,Train,20.1,44,27.1,0,Clear,16,88,150,150,3.50,9,No,No,Yes
1304,Sunday,21:40:00,Bike,3.8,16,14.3,0,Clear,15,86,0,1,NA,9,No,No,No
1305,Sunday,21:55:00,Walk,1.1,17,3.8,0,Clear,15,85,0,1,NA,10,No,No,No
1306,Sunday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No
1307,Sunday,22:25:00,Car,7.2,25,17.3,0,Clear,14,82,410,1,4.10,9,No,No,Yes
1308,Sunday,22:40:00,Bus,10.8,36,17.6,1,Clear,13,80,330,29,2.70,8,No,No,No
1309,Sunday,22:55:00,Train,19.7,43,27.3,0,Clear,13,78,150,150,3.50,9,No,No,Yes
1310,Sunday,23:10:00,Bike,3.6,15,14.4,0,Clear,12,76,0,1,NA,9,No,No,No
1311,Sunday,23:25:00,Walk,1,16,3.7,0,Clear,12,75,0,1,NA,10,No,No,No
1312,Sunday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No
1313,Sunday,23:55:00,Car,7,24,17.5,0,Clear,11,72,390,1,4.00,9,No,No,Yes
1314,Monday,00:10:00,Bus,10.9,37,17.8,2,Cloudy,10,70,340,30,2.80,8,No,No,No
1315,Monday,00:25:00,Train,20.4,46,26.7,1,Cloudy,10,68,160,160,3.60,8,No,No,Yes
1316,Monday,00:40:00,Bike,3.7,15,14.6,0,Cloudy,9,66,0,1,NA,9,No,No,No
1317,Monday,00:55:00,Walk,1.2,18,4,0,Cloudy,9,65,0,1,NA,10,No,No,No
1318,Monday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No
1319,Monday,01:25:00,Car,7.3,26,17,0,Clear,8,62,420,1,4.20,9,No,No,Yes
1320,Monday,01:40:00,Bus,11.1,38,17.4,2,Clear,7,60,330,29,2.70,8,No,No,No
1321,Monday,01:55:00,Train,21.3,48,26.8,1,Clear,7,58,160,160,3.60,9,No,No,Yes
1322,Monday,02:10:00,Bike,3.8,16,14.2,0,Clear,6,56,0,1,NA,9,No,No,No
1323,Monday,02:25:00,Walk,1.1,17,3.8,0,Clear,6,55,0,1,NA,10,No,No,No
1324,Monday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No
1325,Monday,02:55:00,Car,7.1,25,17,0,Clear,5,52,410,1,4.10,9,No,No,Yes
1326,Monday,03:10:00,Bus,10.7,36,17.7,1,Cloudy,5,50,330,29,2.80,7,No,No,No
1327,Monday,03:25:00,Train,20.6,46,26.9,1,Cloudy,4,48,160,160,3.60,8,No,No,Yes
1328,Monday,03:40:00,Bike,3.9,17,14.1,0,Cloudy,4,47,0,1,NA,8,No,No,No
1329,Monday,03:55:00,Walk,1,16,3.6,0,Cloudy,3,46,0,1,NA,9,No,No,No
1330,Monday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No
1331,Monday,04:25:00,Car,6.9,24,17.3,0,Clear,3,44,390,1,4.00,9,No,No,Yes
1332,Monday,04:40:00,Bus,10.5,35,17.8,1,Clear,2,42,330,28,2.70,8,No,No,No
1333,Monday,04:55:00,Train,19.9,43,27.4,0,Clear,2,41,150,150,3.50,9,No,No,Yes
1334,Monday,05:10:00,Bike,3.6,15,14.4,0,Clear,2,40,0,1,NA,9,No,No,No
1335,Monday,05:25:00,Walk,1.2,17,4.1,0,Clear,2,39,0,1,NA,10,No,No,No
1336,Monday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No
1337,Monday,05:55:00,Car,7.4,26,16.8,1,Cloudy,4,45,420,1,4.20,8,No,No,Yes
1338,Monday,06:10:00,Bus,11.2,39,16.9,3,Cloudy,5,55,340,30,2.80,7,No,Yes,No
1339,Monday,06:25:00,Train,22.3,49,26.9,2,Cloudy,6,60,160,160,3.60,7,No,Yes,Yes
1340,Monday,06:40:00,Bike,3.9,16,14.6,0,Cloudy,7,62,0,1,NA,8,No,No,No
1341,Monday,06:55:00,Walk,1.1,18,3.8,0,Cloudy,8,65,0,1,NA,9,No,No,No
1342,Monday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No
1343,Monday,07:25:00,Car,8.1,32,15,8,Rain,10,90,430,1,4.30,5,No,Yes,Yes
1344,Monday,07:40:00,Bus,12.3,50,14.6,15,Rain,11,110,360,35,2.90,4,Yes,Yes,No
1345,Monday,07:55:00,Train,19.1,45,25.3,4,Rain,12,120,170,170,3.70,6,No,Yes,Yes
1346,Monday,08:10:00,Bike,3.4,16,12.8,0,Rain,12,118,0,1,NA,7,No,No,No
1347,Monday,08:25:00,Walk,1,19,3.1,0,Rain,13,125,0,1,NA,7,No,No,No
1348,Monday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No
1349,Monday,08:55:00,Car,7.6,28,16.3,5,Rain,14,135,420,1,4.20,6,No,Yes,Yes
1350,Monday,09:10:00,Bus,11.5,42,16.4,7,Rain,14,140,350,32,2.80,5,Yes,Yes,No
1351,Monday,09:25:00,Train,20.3,47,25.9,3,Rain,15,145,160,160,3.60,6,No,Yes,Yes
1352,Monday,09:40:00,Bike,3.8,17,13.4,0,Rain,15,142,0,1,NA,7,No,No,No
1353,Monday,09:55:00,Walk,1.1,19,3.5,0,Rain,16,140,0,1,NA,7,No,No,No
1354,Monday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No
1355,Monday,10:25:00,Car,6.9,23,18,1,Cloudy,18,120,390,1,4.00,8,No,No,Yes
1356,Monday,10:40:00,Bus,10.8,35,18.5,2,Cloudy,18,118,330,29,2.70,8,No,No,No
1357,Monday,10:55:00,Train,19.6,43,27.3,1,Cloudy,19,115,150,150,3.50,9,No,No,Yes
1358,Monday,11:10:00,Bike,3.7,16,13.9,0,Clear,20,110,0,1,NA,9,No,No,No
1359,Monday,11:25:00,Walk,1,17,3.6,0,Clear,20,108,0,1,NA,10,No,No,No
1360,Monday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No
1361,Monday,11:55:00,Car,7.1,25,17,0,Clear,21,102,410,1,4.10,9,No,No,Yes
1362,Monday,12:10:00,Bus,11,38,17.4,3,Clear,22,100,340,30,2.80,8,No,No,No
1363,Monday,12:25:00,Train,21.4,48,26.8,1,Clear,22,98,160,160,3.60,9,No,No,Yes
1364,Monday,12:40:00,Bike,3.9,16,14.6,0,Clear,23,95,0,1,NA,9,No,No,No
1365,Monday,12:55:00,Walk,1.2,18,4,0,Clear,23,94,0,1,NA,10,No,No,No
1366,Monday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No
1367,Monday,13:25:00,Car,7.4,26,17.1,0,Clear,24,90,420,1,4.20,9,No,No,Yes
1368,Monday,13:40:00,Bus,10.9,37,17.8,2,Clear,25,88,330,29,2.70,8,No,No,No
1369,Monday,13:55:00,Train,20.2,45,27,1,Clear,25,86,150,150,3.50,9,No,No,Yes
1370,Monday,14:10:00,Bike,3.6,15,14.4,0,Clear,26,85,0,1,NA,9,No,No,No
1371,Monday,14:25:00,Walk,1.1,17,3.8,0,Clear,26,84,0,1,NA,10,No,No,No
1372,Monday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No
1373,Monday,14:55:00,Car,7,24,17.5,1,Cloudy,27,90,390,1,4.00,8,No,No,Yes
1374,Monday,15:10:00,Bus,11.3,39,17.3,4,Cloudy,26,95,340,31,2.80,7,No,Yes,No
1375,Monday,15:25:00,Train,22.1,49,26.9,2,Cloudy,25,100,160,160,3.60,7,No,Yes,Yes
1376,Monday,15:40:00,Bike,3.8,16,14.3,0,Cloudy,25,98,0,1,NA,8,No,No,No
1377,Monday,15:55:00,Walk,1,17,3.6,0,Cloudy,24,96,0,1,NA,9,No,No,No
1378,Monday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No
1379,Monday,16:25:00,Car,8.2,33,14.9,9,Rain,22,125,430,1,4.30,5,No,Yes,Yes
1380,Monday,16:40:00,Bus,12.3,51,14.5,16,Rain,21,140,360,35,2.90,4,Yes,Yes,No
1381,Monday,16:55:00,Train,19.3,44,25.4,4,Rain,20,150,170,170,3.70,6,No,Yes,Yes
1382,Monday,17:10:00,Bike,3.5,16,12.9,0,Rain,20,148,0,1,NA,7,No,No,No
1383,Monday,17:25:00,Walk,1.1,19,3.2,0,Rain,19,145,0,1,NA,7,No,No,No
1384,Monday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No
1385,Monday,17:55:00,Car,7.7,29,16,6,Cloudy,18,130,420,1,4.20,6,No,Yes,Yes
1386,Monday,18:10:00,Bus,11.7,41,16.3,5,Cloudy,18,125,350,32,2.80,7,No,No,No
1387,Monday,18:25:00,Train,20.5,46,26,2,Cloudy,17,120,160,160,3.60,8,No,No,Yes
1388,Monday,18:40:00,Bike,3.9,17,14.1,0,Cloudy,17,118,0,1,NA,8,No,No,No
1389,Monday,18:55:00,Walk,1.2,18,4,0,Cloudy,17,115,0,1,NA,9,No,No,No
1390,Monday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No
1391,Monday,19:25:00,Car,6.8,23,17.7,0,Clear,18,108,390,1,4.00,9,No,No,Yes
1392,Monday,19:40:00,Bus,10.7,36,17.8,1,Clear,19,105,330,29,2.70,8,No,No,No
1393,Monday,19:55:00,Train,19.9,43,27.4,0,Clear,19,102,150,150,3.50,9,No,No,Yes
1394,Monday,20:10:00,Bike,3.7,16,14.5,0,Clear,18,100,0,1,NA,9,No,No,No
1395,Monday,20:25:00,Walk,1,17,3.7,0,Clear,18,98,0,1,NA,10,No,No,No
1396,Monday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No
1397,Monday,20:55:00,Car,7,24,17.5,0,Clear,17,93,410,1,4.10,9,No,No,Yes
1398,Monday,21:10:00,Bus,10.6,35,17.9,1,Clear,16,90,330,28,2.70,8,No,No,No
1399,Monday,21:25:00,Train,20.1,44,27.1,0,Clear,16,88,150,150,3.50,9,No,No,Yes
1400,Monday,21:40:00,Bike,3.8,16,14.3,0,Clear,15,86,0,1,NA,9,No,No,No
1401,Monday,21:55:00,Walk,1.1,17,3.8,0,Clear,15,85,0,1,NA,10,No,No,No
1402,Monday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No
1403,Monday,22:25:00,Car,7.2,25,17.3,0,Clear,14,82,410,1,4.10,9,No,No,Yes
1404,Monday,22:40:00,Bus,10.8,36,17.6,1,Clear,13,80,330,29,2.70,8,No,No,No
1405,Monday,22:55:00,Train,19.7,43,27.3,0,Clear,13,78,150,150,3.50,9,No,No,Yes
1406,Monday,23:10:00,Bike,3.6,15,14.4,0,Clear,12,76,0,1,NA,9,No,No,No
1407,Monday,23:25:00,Walk,1,16,3.7,0,Clear,12,75,0,1,NA,10,No,No,No
1408,Monday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No
1409,Monday,23:55:00,Car,7,24,17.5,0,Clear,11,72,390,1,4.00,9,No,No,Yes
1410,Tuesday,00:10:00,Bus,10.9,37,17.8,2,Cloudy,10,70,340,30,2.80,8,No,No,No
1411,Tuesday,00:25:00,Train,20.4,46,26.7,1,Cloudy,10,68,160,160,3.60,8,No,No,Yes
1412,Tuesday,00:40:00,Bike,3.7,15,14.6,0,Cloudy,9,66,0,1,NA,9,No,No,No
1413,Tuesday,00:55:00,Walk,1.2,18,4,0,Cloudy,9,65,0,1,NA,10,No,No,No
1414,Tuesday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No
1415,Tuesday,01:25:00,Car,7.3,26,17,0,Clear,8,62,420,1,4.20,9,No,No,Yes
1416,Tuesday,01:40:00,Bus,11.1,38,17.4,2,Clear,7,60,330,29,2.70,8,No,No,No
1417,Tuesday,01:55:00,Train,21.3,48,26.8,1,Clear,7,58,160,160,3.60,9,No,No,Yes
1418,Tuesday,02:10:00,Bike,3.8,16,14.2,0,Clear,6,56,0,1,NA,9,No,No,No
1419,Tuesday,02:25:00,Walk,1.1,17,3.8,0,Clear,6,55,0,1,NA,10,No,No,No
1420,Tuesday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No
1421,Tuesday,02:55:00,Car,7.1,25,17,0,Clear,5,52,410,1,4.10,9,No,No,Yes
1422,Tuesday,03:10:00,Bus,10.7,36,17.7,1,Cloudy,5,50,330,29,2.80,7,No,No,No
1423,Tuesday,03:25:00,Train,20.6,46,26.9,1,Cloudy,4,48,160,160,3.60,8,No,No,Yes
1424,Tuesday,03:40:00,Bike,3.9,17,14.1,0,Cloudy,4,47,0,1,NA,8,No,No,No
1425,Tuesday,03:55:00,Walk,1,16,3.6,0,Cloudy,3,46,0,1,NA,9,No,No,No
1426,Tuesday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No
1427,Tuesday,04:25:00,Car,6.9,24,17.3,0,Clear,3,44,390,1,4.00,9,No,No,Yes
1428,Tuesday,04:40:00,Bus,10.5,35,17.8,1,Clear,2,42,330,28,2.70,8,No,No,No
1429,Tuesday,04:55:00,Train,19.9,43,27.4,0,Clear,2,41,150,150,3.50,9,No,No,Yes
1430,Tuesday,05:10:00,Bike,3.6,15,14.4,0,Clear,2,40,0,1,NA,9,No,No,No
1431,Tuesday,05:25:00,Walk,1.2,17,4.1,0,Clear,2,39,0,1,NA,10,No,No,No
1432,Tuesday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No
1433,Tuesday,05:55:00,Car,7.4,26,16.8,1,Cloudy,4,45,420,1,4.20,8,No,No,Yes
1434,Tuesday,06:10:00,Bus,11.2,39,16.9,3,Cloudy,5,55,340,30,2.80,7,No,Yes,No
1435,Tuesday,06:25:00,Train,22.3,49,26.9,2,Cloudy,6,60,160,160,3.60,7,No,Yes,Yes
